2022-03-14 20:31:30,593 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simpleAdd')
2022-03-14 20:31:30,593 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simpleAdd')
2022-03-14 20:31:30,621 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple0')
2022-03-14 20:31:30,622 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple0')
2022-03-14 20:31:30,645 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simpleEqual')
2022-03-14 20:31:30,646 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simpleEqual')
2022-03-14 20:31:30,667 INFO [root] [base.py (base_get_value:base_get_value:35)]-get inputElement('css selector', '#resultIpt') value
2022-03-14 20:31:30,667 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#resultIpt')
2022-03-14 20:31:30,675 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simpleClearAllBtn')
2022-03-14 20:31:30,675 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simpleClearAllBtn')
2022-03-14 20:31:30,700 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple1')
2022-03-14 20:31:30,700 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple1')
2022-03-14 20:31:30,724 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple1')
2022-03-14 20:31:30,724 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple1')
2022-03-14 20:31:30,748 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple1')
2022-03-14 20:31:30,748 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple1')
2022-03-14 20:31:30,771 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple2')
2022-03-14 20:31:30,771 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple2')
2022-03-14 20:31:30,810 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple3')
2022-03-14 20:31:30,810 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple3')
2022-03-14 20:31:30,849 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple1')
2022-03-14 20:31:30,850 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple1')
2022-03-14 20:31:30,875 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple2')
2022-03-14 20:31:30,875 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple2')
2022-03-14 20:31:30,902 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple3')
2022-03-14 20:31:30,902 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple3')
2022-03-14 20:31:30,932 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simpleAdd')
2022-03-14 20:31:30,932 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simpleAdd')
2022-03-14 20:31:30,956 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple1')
2022-03-14 20:31:30,956 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple1')
2022-03-14 20:31:30,976 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simpleEqual')
2022-03-14 20:31:30,976 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simpleEqual')
